0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,2,0,0,0,
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,3,12,2,1,1,1,1,1,1,1,1,3,3,1,1,1,0,0,
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,2,6,7,4,3,7,13,5,5,4,4,6,10,6,5,4,1,1,
0,0,0,0,0,0,0,3,2,1,1,2,2,3,1,1,0,4,1,0,1,1,0,0,
0,0,0,0,0,0,0,3,2,0,0,1,1,2,1,1,0,2,1,1,1,0,0,0,
0,0,1,0,0,2,10,21,14,7,8,12,8,7,12,9,12,21,14,10,11,9,5,2,
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,3,2,1,2,0,0,
1,0,0,0,0,3,14,31,13,7,10,12,16,15,11,13,14,19,21,18,14,7,3,2,
3,0,0,0,1,3,11,49,40,25,29,44,62,42,31,43,52,83,89,62,49,36,16,9,
1,0,0,0,0,1,10,30,22,11,14,13,15,18,13,13,17,23,28,22,25,18,11,5,
0,0,0,0,0,1,1,22,6,3,4,4,6,3,2,3,4,7,6,6,6,4,2,0,
0,0,0,0,0,1,3,9,10,5,7,9,9,5,6,7,8,10,10,11,11,9,3,1,
0,0,0,0,0,0,0,2,2,1,2,2,2,1,1,1,2,5,6,1,2,1,0,0,
0,0,0,0,0,3,9,8,4,2,3,3,2,2,4,3,4,6,7,6,4,3,1,0,
0,0,0,0,0,2,3,9,6,3,3,3,2,4,4,5,5,6,7,7,4,7,2,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
